nameEn,nameZh
Hisui,洗翠地區
Galar,伽勒爾地區
LevelUp,等級提升
LevelUpAffection50MoveType,等級提升(友好度50以上，且學會妖精招式)
LevelUpBeauty,等級提升(美麗度170以上)
LevelUpCollect999,等級提升(收集999個硬幣以上)
LevelUpDefeatEquals,等級提升(擊倒3隻群體中攜帶有頭領憑證的劈斬司令後)
LevelUpFemale,雌性
LevelUpMale,雄性
LevelUpMorning,白天
LevelUpNight,夜晚
LevelUpDusk,黃昏
LevelUpWeather,雨天
LevelUpFriendship,等級提升(友好度158以上)
LevelUpFriendshipMorning,等級提升(友好度158以上，白天)
LevelUpFriendshipNight,等級提升(友好度158以上，夜晚)
LevelUpHeldItemDay,等級提升(攜帶<ITEM>，白天)
LevelUpHeldItemNight,等級提升(攜帶<ITEM>，夜晚)
LevelUpInBattleEC25,等級提升(通過對戰達Lv25以上，四隻)
LevelUpInBattleECElse,等級提升(通過對戰達Lv25以上，三隻)
LevelUpKnowMove,等級提升(學會<ITEM>後)
LevelUpKnowMoveEC25,等級提升(學會<ITEM>後)
LevelUpKnowMoveECElse,等級提升(學會<ITEM>後)
LevelUpNatureAmped,等級提升(Lv30以上(勤奮、固執、頑皮、勇敢、坦率、淘氣、樂天、馬虎、浮躁、自大、急躁、爽朗或天真))
LevelUpNatureLowKey,等級提升(Lv30以上(怕寂寞、大膽、悠閒、內斂、慢吞吞、害羞、冷靜、溫和、溫順、慎重、膽小或認真))
LevelUpRecoilDamageFemale,等級提升(不計造成自己瀕死的傷害累計受到至少<ITEM>點反作用力傷害，雌性)
LevelUpRecoilDamageMale,等級提升(不計造成自己瀕死的傷害累計受到至少<ITEM>點反作用力傷害，雄性)
LevelUpSummit,等級提升(來到拉納基拉山附近)
LevelUpUnionCircle,等級提升(聯盟集友圈)
LevelUpUseMoveSpecial,等級提升(使出<ITEM>次憤怒之拳後)
LevelUpWalkStepsWith,等級提升(在Let's Go模式中行走<ITEM>步後)
TowerOfDarkness,查看惡之掛軸
TowerOfWaters,查看水之掛軸
Trade,連線交換
TradeHeldItem,攜帶<ITEM>連線交換
UseItem,使用<ITEM>道具
UseItemAlola,在阿羅拉地區使用<ITEM>道具
UseItemHisui,在洗翠地區使用<ITEM>道具
UseItemFemale,使用<ITEM>道具(雌性)
UseItemMale,使用<ITEM>道具(雄性)
