pid,nameZh,nameJp,nameEn,type,category,power,accuracy,PP,description
1,拍擊,はたく,Pound,一般,物理,40,100,35,使用長長的尾巴或手等拍打對手進行攻擊。
2,空手劈,からてチョップ,Karate Chop,格鬥,物理,-999,-999,-999,用鋒利的手刀劈向對手進行攻擊。容易擊中要害。
3,連環巴掌,おうふくビンタ,Double Slap,一般,物理,-999,-999,-999,用連環巴掌拍打對手進行攻擊。會連續攻擊２～５次。
4,連續拳,れんぞくパンチ,Comet Punch,一般,物理,-999,-999,-999,用怒濤般的拳頭毆打對手進行攻擊。連續攻擊２～５次。
5,百萬噸重拳,メガトンパンチ,Mega Punch,一般,物理,80,85,20,用帶有強大力量的拳頭攻擊對手。
6,聚寶功,ネコにこばん,Pay Day,一般,物理,40,100,20,往對手身上投擲金幣進行攻擊。戰鬥後可以得到錢。
7,火焰拳,ほのおのパンチ,Fire Punch,火,物理,75,100,15,用帶有火焰的拳頭攻擊對手。有時會讓對手陷入灼傷狀態。
8,冰凍拳,れいとうパンチ,Ice Punch,冰,物理,75,100,15,用帶有寒氣的拳頭攻擊對手。有時會讓對手陷入冰凍狀態。
9,雷電拳,かみなりパンチ,Thunder Punch,電,物理,75,100,15,用帶有電流的拳頭攻擊對手。有時會讓對手陷入麻痺狀態。
10,抓,ひっかく,Scratch,一般,物理,40,100,35,用堅硬且無比鋒利的爪子抓對手進行攻擊。
11,夾住,はさむ,Vise Grip,一般,物理,55,100,30,從兩側夾住對手，給予傷害。
12,斷頭鉗,ハサミギロチン,Guillotine,一般,物理,-1,-1,5,用巨大的鉗子或剪刀等撕裂對手進行攻擊。只要命中就會一擊瀕死。
13,旋風刀,かまいたち,Razor Wind,一般,特殊,-999,-999,-999,製造出風之刃，在下一回合攻擊對手。容易擊中要害。
14,劍舞,つるぎのまい,Swords Dance,一般,變化,0,0,20,激烈地跳起戰舞提升氣勢。大幅提高自己的攻擊。
15,居合斬,いあいぎり,Cut,一般,物理,50,95,30,用鐮刀或爪子等斬切對手進行攻擊。
16,起風,かぜおこし,Gust,飛行,特殊,40,100,35,用翅膀刮起狂風，吹向對手進行攻擊。
17,翅膀攻擊,つばさでうつ,Wing Attack,飛行,物理,60,100,35,用大大伸展開來的美麗翅膀，撞向對手進行攻擊。
18,吹飛,ふきとばし,Whirlwind,一般,變化,0,0,20,吹飛對手，強制讓後備寶可夢上場。對手為野生寶可夢時，戰鬥將直接結束。
19,飛翔,そらをとぶ,Fly,飛行,物理,90,95,15,使用後的第１回合飛上天空，並於第２回合攻擊對手。
20,綁緊,しめつける,Bind,一般,物理,15,85,20,使用長長的身體或藤蔓等，在４～５回合內綁緊對手進行攻擊。
21,摔打,たたきつける,Slam,一般,物理,80,75,20,將長長的尾巴或藤蔓等甩向對手進行攻擊。
22,藤鞭,つるのムチ,Vine Whip,草,物理,45,100,25,將如同鞭子般彎曲而細長的藤蔓甩向對手進行攻擊。
23,踩踏,ふみつけ,Stomp,一般,物理,65,100,20,用大腳踩踏對手進行攻擊。有時會讓對手畏縮。
24,二連踢,にどげり,Double Kick,格鬥,物理,30,100,30,用２隻腳踢飛對手進行攻擊。連續２次給予傷害。
25,百萬噸重踢,メガトンキック,Mega Kick,一般,物理,120,75,5,用灌注了巨大力量的重踢踢飛對手進行攻擊。
26,飛踢,とびげり,Jump Kick,格鬥,物理,-999,-999,-999,高高跳起之後使出飛踢攻擊對手。沒踢中對手時自己會受到傷害。
27,迴旋踢,まわしげり,Rolling Kick,格鬥,物理,-999,-999,-999,一邊使身體快速旋轉，一邊踢飛對手進行攻擊。有時會使對手畏縮。
28,潑沙,すなかけ,Sand Attack,地面,變化,0,100,15,向對手的臉上潑沙，降低對手的命中率。
29,頭錘,ずつき,Headbutt,一般,物理,70,100,15,將頭伸出，直直衝向對手進行攻擊。有時會讓對手畏縮。
30,角撞,つのでつく,Horn Attack,一般,物理,65,100,25,用尖銳的角攻擊對手。
31,亂擊,みだれづき,Fury Attack,一般,物理,15,85,20,用角或喙刺向對手進行攻擊。連續攻擊２～５次。
32,角鑽,つのドリル,Horn Drill,一般,物理,-1,-1,5,用旋轉的角刺進對手進行攻擊。只要命中就會一擊瀕死。
33,撞擊,たいあたり,Tackle,一般,物理,40,100,35,用整個身體撞向對手進行攻擊。
34,泰山壓頂,のしかかり,Body Slam,一般,物理,85,100,15,用整個身體壓住對手進行攻擊。有時會讓對手陷入麻痺狀態。
35,緊束,まきつく,Wrap,一般,物理,15,90,20,使用長長的身體或藤蔓等，在４～５回合內緊束對手進行攻擊。
36,猛撞,とっしん,Take Down,一般,物理,90,85,20,以驚人的氣勢撞向對手進行攻擊。自己也會受到少許傷害。
37,大鬧一番,あばれる,Thrash,一般,物理,120,100,10,在２～３回合內瘋狂亂打對手進行攻擊。大鬧一番後自己會陷入混亂。
38,捨身衝撞,すてみタックル,Double-Edge,一般,物理,120,100,15,捨身衝撞對手進行攻擊。自己也會受到不小的傷害。
39,搖尾巴,しっぽをふる,Tail Whip,一般,變化,0,100,30,可愛地左右搖晃尾巴，誘使對手疏忽大意。可降低對手的防禦。
40,毒針,どくばり,Poison Sting,毒,物理,15,100,35,將有毒的針刺進對手進行攻擊。有時會讓對手陷入中毒狀態。
41,雙針,ダブルニードル,Twineedle,蟲,物理,-999,-999,-999,將２根針刺進對手，連續２次給予傷害。有時會讓對手陷入中毒狀態。
42,飛彈針,ミサイルばり,Pin Missile,蟲,物理,25,95,20,向對手發射銳利的針進行攻擊。可連續攻擊２～５次。
43,瞪眼,にらみつける,Leer,一般,變化,0,100,30,用犀利的眼神使對手害怕，降低對手的防禦。
44,咬住,かみつく,Bite,惡,物理,60,100,25,用尖銳的牙齒咬住對手進行攻擊。有時會使對手畏縮。
45,叫聲,なきごえ,Growl,一般,變化,0,100,40,發出可愛的叫聲，誘使對手疏忽大意，降低對手的攻擊。
46,吼叫,ほえる,Roar,一般,變化,0,0,20,趕走對手，強制讓後備寶可夢上場。對手為野生寶可夢時，戰鬥將直接結束。
47,唱歌,うたう,Sing,一般,變化,0,55,15,唱出舒服美妙的歌聲，讓對手陷入睡眠狀態。
48,超音波,ちょうおんぱ,Supersonic,一般,變化,0,55,20,從身上發出特殊的音波，讓對手陷入混亂狀態。
49,音爆,ソニックブーム,Sonic Boom,一般,特殊,-999,-999,-999,向對手發射衝擊波進行攻擊。固定給予２０的傷害。
50,定身法,かなしばり,Disable,一般,變化,0,100,20,阻止對手出招，最近一次使用的招式在４回合內無法使用。
51,溶解液,ようかいえき,Acid,毒,特殊,40,100,30,將強酸潑向對手進行攻擊。有時會降低對手的特防。
52,火花,ひのこ,Ember,火,特殊,40,100,25,向對手發射小火焰進行攻擊。有時會讓對手陷入灼傷狀態。
53,噴射火焰,かえんほうしゃ,Flamethrower,火,特殊,90,100,15,向對手發射強烈火焰進行攻擊。有時會讓對手陷入灼傷狀態。
54,白霧,しろいきり,Mist,冰,變化,0,0,30,用白霧覆蓋身體。在５回合內不會讓對手降低自己的能力。
55,水槍,みずでっぽう,Water Gun,水,特殊,40,100,25,向對手噴射強烈水流進行攻擊。
56,水炮,ハイドロポンプ,Hydro Pump,水,特殊,110,80,5,向對手猛烈地噴射大量水流進行攻擊。
57,衝浪,なみのり,Surf,水,特殊,90,100,15,使用大浪攻擊自己周圍所有的寶可夢。
58,冰凍光束,れいとうビーム,Ice Beam,冰,特殊,90,100,10,向對手發射冰凍光束進行攻擊。有時會讓對手陷入冰凍狀態。
59,暴風雪,ふぶき,Blizzard,冰,特殊,110,70,5,將猛烈的暴風雪吹向對手進行攻擊。有時會讓對手陷入冰凍狀態。
60,幻象光線,サイケこうせん,Psybeam,超能力,特殊,65,100,20,向對手發射神奇的光線進行攻擊。有時會使對手混亂。
61,泡沫光線,バブルこうせん,Bubble Beam,水,特殊,65,100,20,向對手猛烈地噴射泡沫進行攻擊。有時會降低對手的速度。
62,極光束,オーロラビーム,Aurora Beam,冰,特殊,65,100,20,向對手發射七彩光束進行攻擊。有時會降低對手的攻擊。
63,破壞光線,はかいこうせん,Hyper Beam,一般,特殊,150,90,5,向對手發射強烈的光線進行攻擊。下一回合自己將無法動彈。
